"","time","seas1","seas2","seas3","seas4","seas5","seas6"
"99",98,0.491495057844987,0.151528726713161,0.00602792925583691,0.000198468534799092,0.0349128887211474,0.315836928930069
"100",99,0.506401079745495,0.189674212886054,0.0100863817740992,7.49507010237924e-05,0.0234841108512414,0.270279264042086
"101",100,0.511001868398847,0.23161812301859,0.0161335225731922,4.35485091716516e-05,0.015214064757809,0.225988872742389
"102",101,0.505033606548752,0.27616614828219,0.024777302485649,8.48757410643262e-05,0.00945855710469555,0.184479509837648
"103",102,0.488838384862126,0.321760506057798,0.0366645365568074,0.00022416905012795,0.0056175053263989,0.146894898146742
"104",103,0.463337962173542,0.366550067424155,0.0524326739808509,0.000533911936947912,0.00316742383869911,0.113977960645805
"105",104,0.42996108368447,0.408495316179995,0.072647635423286,0.00114110292934538,0.00167997763572261,0.0860748841471815
"106",105,0.390524372843055,0.445508123674378,0.0977277271653141,0.00223916437251423,0.000826606867902643,0.0631740050768362
"107",106,0.347069609546501,0.475623526803131,0.127855319655324,0.00410384893960921,0.000369865290445075,0.0449778297649895
"108",107,0.301682977859759,0.49717792597767,0.162891640383737,0.00710729627564873,0.000147320169436,0.030992839333749
"109",108,0.256336265979813,0.508953720336922,0.202318670718778,0.0117211008651817,5.71525551419036e-05,0.0206130895441639
"110",109,0.212762401608897,0.510277997039013,0.245215576601162,0.0185055606863862,4.82883598342968e-05,0.0131901757047078
"111",110,0.172365818807223,0.501074778562141,0.290269970740063,0.0280849932640369,0.000115173627702768,0.00808926499883296
"112",111,0.136167656379628,0.481870827960227,0.335824006342988,0.0411091191089065,0.000297194009289765,0.0047311961989605
"113",112,0.104785787796123,0.453755012073349,0.379955302379575,0.0582005125436021,0.000682738440447112,0.00262064676690416
"114",113,0.0784496826463724,0.418291222692959,0.420592700379288,0.0798881199148372,0.00141790702581424,0.00136036734072969
"115",114,0.0570500187573159,0.377384990466473,0.455666717978453,0.10652692606289,0.00271983231891231,0.000651514415954574
"116",115,0.0402188714400259,0.333110747431125,0.483287743326718,0.138207942582188,0.00489302408116423,0.000281671138778434
"117",116,0.0274195478076805,0.287534624940585,0.501917083589433,0.174679449931116,0.00834076340246786,0.000108530328716821
"118",117,0.0180261088045301,0.242566049251238,0.51049760527909,0.215299450751182,0.0135639433794639,4.68425344967039e-05
"119",118,0.011389015036812,0.199844074616508,0.508538026567382,0.259022898304585,0.0211459986718632,5.99868028495267e-05
"120",119,0.00688683999010031,0.16065854791511,0.496150767552064,0.304423756445691,0.0317239024452079,0.000156185651825992
"121",120,0.00396405063308969,0.1259061048132,0.474043358478586,0.349751891126423,0.0459452307000687,0.000389364248632583
"122",121,0.00215485540781489,0.0960809974604447,0.443463405916504,0.39302479343557,0.0644112939876757,0.000864653791989817
"123",122,0.0010931196461622,0.0713007536153823,0.406097117065068,0.432154133997622,0.0876063366166113,0.00174853905915453
"124",123,0.000508497505128259,0.0513662758323671,0.363922034467438,0.465106496451657,0.115813194718258,0.00328350102515148
"125",124,0.000211971443293088,0.0358480042761378,0.319027941856864,0.490084329286982,0.149023789604975,0.0058039635317473
"126",125,8.01034888614852e-05,0.0241737195068202,0.27344664723009,0.505686409940226,0.18686888007819,0.00974423975581262
"127",126,4.34036399019193e-05,0.0157037962162167,0.229014291513262,0.51102417278863,0.228581262705546,0.0156330731364431
"128",127,7.93403365413158e-05,0.00979252994851597,0.187268479431775,0.505791604428102,0.272993798033984,0.0240742478210813
"129",128,0.000209995137681582,0.00583553120743704,0.149380241914025,0.490288696906054,0.318572268336729,0.0357132664980731
"130",129,0.000504361602237864,0.00330318694980857,0.11612083002908,0.465398458909015,0.363483066894199,0.0511900956156593
"131",130,0.00108528837489854,0.00176018946558265,0.0878633404582659,0.432517484905032,0.405695718808819,0.0710779779874013
"132",131,0.00214106453051388,0.0008711345901766,0.0646191673926874,0.393440090754138,0.443120224840472,0.095808317892012
"133",132,0.00394114015241163,0.000392696273844301,0.0461079499168598,0.350198234019948,0.473777010029504,0.125582969607432
"134",133,0.00685065040097982,0.00015770925173687,0.0318470190513304,0.304880545360908,0.495976150728787,0.160287925206258
"135",134,0.0113344161280977,6.04867590717413e-05,0.0212358612251965,0.259471276383017,0.508465074662991,0.199432884841626
"136",135,0.0179471677791883,4.66265496367992e-05,0.0136270583756728,0.215723396958779,0.51053050101033,0.242125249326393
"137",136,0.0273098367291345,0.00010746107138691,0.00838329555859569,0.175066523872555,0.502053938646603,0.287078944121725
"138",137,0.0400719140046311,0.00027915184656218,0.00492043594536234,0.138549680999836,0.483520742344006,0.332658074859603
"139",138,0.0568598763929702,0.000646428056327957,0.00273666320630459,0.106818891020423,0.455982726924732,0.376955414399242
"140",139,0.0782116799372627,0.00135096932993656,0.00142769128049763,0.0801295986655231,0.420974339369361,0.417905721417419
"141",140,0.1044973738327,0.00260441254237036,0.00068806172804385,0.0583938724841553,0.38038247723769,0.45343380217504
"142",141,0.135829303385925,0.00470466122539213,0.000299850059905949,0.0412589164667864,0.336275734505495,0.481631534356495
"143",142,0.171981690143239,0.0080479592660129,0.000116319371279142,0.0281971034204875,0.290726054993389,0.500930872805592
"144",143,0.212340676284384,0.0131286957126658,4.85544582137815e-05,0.0185864429988608,0.245657938549036,0.51023769199684
"145",144,0.255889114852729,0.0205253096144825,5.67074920919964e-05,0.0117772028159024,0.202732335934116,0.509019329290678
"146",145,0.301226191519382,0.0308722622470046,0.000145887898625958,0.00714459694630254,0.163265375245184,0.4973456861435
"147",146,0.346621877881202,0.0448180767243298,0.000366696441377878,0.00412754181217861,0.128181919868462,0.475883887272449
"148",147,0.39010621629273,0.0629694449976926,0.000820403509801744,0.0022534794562443,0.09800395796853,0.445846497775002
"149",148,0.429593436188302,0.0858214022667193,0.0016687716018109,0.00114926821140877,0.0728738234846948,0.408893298247064
"150",149,0.463040428570451,0.113673852797691,0.003148413812554,0.0005382489551242,0.0526119646407028,0.366987091223477
"151",150,0.48862744872107,0.146541725114932,0.00558691577087698,0.000226259507003836,0.0368019820016673,0.32221566888445
"152",151,0.504921205754774,0.184082661393663,0.00941161442220276,8.57037709787728e-05,0.0248790312498881,0.276619783408493
"153",152,0.510994433802738,0.22555778418135,0.0151451124665728,4.3596813249477e-05,0.016206047552514,0.232053025183575
"154",153,0.506499038233913,0.26982728440341,0.0233868640877186,7.42502401640545e-05,0.0101360475652019,0.190076515469593
